source	target	value
New Westminster	Patterson	12
Columbia	Patterson	13
Scott Road	Patterson	16
Gateway	Patterson	19
Surrey Central	Patterson	20
King George	Patterson	22
Waterfront	Metrotown	18
Burrard	Metrotown	16
Granville	Metrotown	15
Stadium-Chinatown	Metrotown	14
Main	Metrotown	12
Commercial-Broadway	Metrotown	9
Nanaimo	Metrotown	6
29th Avenue	Metrotown	5
Joyce	Metrotown	3
Patterson	Metrotown	1
Metrotown	Metrotown	0
Royal Oak	Metrotown	2
Edmonds	Metrotown	5
22nd Street	Metrotown	7
New Westminster	Metrotown	11
Columbia	Metrotown	12
Scott Road	Metrotown	15
Gateway	Metrotown	18
Surrey Central	Metrotown	19
King George	Metrotown	21
Waterfront	Royal Oak	20
Burrard	Royal Oak	18
Granville	Royal Oak	17
Stadium-Chinatown	Royal Oak	16
Main	Royal Oak	14
Commercial-Broadway	Royal Oak	11
Nanaimo	Royal Oak	8
29th Avenue	Royal Oak	7
Joyce	Royal Oak	5
Patterson	Royal Oak	3
Metrotown	Royal Oak	3
Royal Oak	Royal Oak	0
Edmonds	Royal Oak	3
22nd Street	Royal Oak	5
New Westminster	Royal Oak	9
Columbia	Royal Oak	10
Scott Road	Royal Oak	13
Gateway	Royal Oak	16
Surrey Central	Royal Oak	17
King George	Royal Oak	19
Waterfront	Edmonds	23
Burrard	Edmonds	21
Granville	Edmonds	20
Stadium-Chinatown	Edmonds	19
Main	Edmonds	17
Commercial-Broadway	Edmonds	14
Nanaimo	Edmonds	11
29th Avenue	Edmonds	10
Joyce	Edmonds	8
Patterson	Edmonds	6
Metrotown	Edmonds	5
Royal Oak	Edmonds	2
Edmonds	Edmonds	0
22nd Street	Edmonds	2
New Westminster	Edmonds	5
Columbia	Edmonds	7
Scott Road	Edmonds	10
Gateway	Edmonds	13
Surrey Central	Edmonds	14
King George	Edmonds	16
Waterfront	22nd Street	25
Burrard	22nd Street	23
Granville	22nd Street	22
Stadium-Chinatown	22nd Street	21
Main	22nd Street	19
Commercial-Broadway	22nd Street	16
Nanaimo	22nd Street	13
29th Avenue	22nd Street	12
Joyce	22nd Street	10
Patterson	22nd Street	6
Metrotown	22nd Street	9
Royal Oak	22nd Street	5
Edmonds	22nd Street	4
22nd Street	22nd Street	0
New Westminster	22nd Street	4
Columbia	22nd Street	5
Scott Road	22nd Street	8
Gateway	22nd Street	11
Surrey Central	22nd Street	12
King George	22nd Street	14
Waterfront	New Westminster	29
Burrard	New Westminster	27
Granville	New Westminster	26
Stadium-Chinatown	New Westminster	25
Main	New Westminster	23
Commercial-Broadway	New Westminster	20
Nanaimo	New Westminster	17
29th Avenue	New Westminster	16
Joyce	New Westminster	14
Patterson	New Westminster	12
Metrotown	New Westminster	10
Royal Oak	New Westminster	7
Edmonds	New Westminster	5
22nd Street	New Westminster	1
New Westminster	New Westminster	0
Columbia	New Westminster	1
Scott Road	New Westminster	4
Gateway	New Westminster	7
Surrey Central	New Westminster	8
King George	New Westminster	10
Waterfront	Columbia	30
Burrard	Columbia	28
Granville	Columbia	27
Stadium-Chinatown	Columbia	26
Main	Columbia	24
Commercial-Broadway	Columbia	21
Nanaimo	Columbia	18
29th Avenue	Columbia	17
Joyce	Columbia	15
Patterson	Columbia	13
Metrotown	Columbia	13
Royal Oak	Columbia	10
Edmonds	Columbia	8
22nd Street	Columbia	4
New Westminster	Columbia	3
Columbia	Columbia	0
Scott Road	Columbia	3
Gateway	Columbia	6
Surrey Central	Columbia	7
King George	Columbia	9
Waterfront	Scott Road	33
Burrard	Scott Road	31
Granville	Scott Road	30
Stadium-Chinatown	Scott Road	29
Main	Scott Road	27
Commercial-Broadway	Scott Road	24
Nanaimo	Scott Road	21
29th Avenue	Scott Road	20
Joyce	Scott Road	18
Patterson	Scott Road	16
Metrotown	Scott Road	16
Royal Oak	Scott Road	13
Edmonds	Scott Road	11
22nd Street	Scott Road	7
New Westminster	Scott Road	6
Columbia	Scott Road	3
Scott Road	Scott Road	0
Gateway	Scott Road	3
Surrey Central	Scott Road	4
King George	Scott Road	6
Waterfront	Gateway	36
Burrard	Gateway	34
Granville	Gateway	33
Stadium-Chinatown	Gateway	32
Main	Gateway	30
Commercial-Broadway	Gateway	27
Nanaimo	Gateway	22
29th Avenue	Gateway	23
Joyce	Gateway	21
Patterson	Gateway	19
Metrotown	Gateway	17
Royal Oak	Gateway	14
Edmonds	Gateway	12
22nd Street	Gateway	8
New Westminster	Gateway	7
Columbia	Gateway	4
Scott Road	Gateway	1
Gateway	Gateway	0
Surrey Central	Gateway	1
King George	Gateway	3
Waterfront	Surrey Central	37
Burrard	Surrey Central	36
Granville	Surrey Central	34
Stadium-Chinatown	Surrey Central	33
Main	Surrey Central	31
Commercial-Broadway	Surrey Central	28
Nanaimo	Surrey Central	24
29th Avenue	Surrey Central	24
Joyce	Surrey Central	22
Patterson	Surrey Central	20
Metrotown	Surrey Central	19
Royal Oak	Surrey Central	16
Edmonds	Surrey Central	14
22nd Street	Surrey Central	10
New Westminster	Surrey Central	9
Columbia	Surrey Central	6
Scott Road	Surrey Central	3
Gateway	Surrey Central	1
Surrey Central	Surrey Central	0
King George	Surrey Central	2
Waterfront	King George	39
Burrard	King George	37
Granville	King George	36
Stadium-Chinatown	King George	35
Main	King George	33
Commercial-Broadway	King George	30
Nanaimo	King George	26
29th Avenue	King George	26
Joyce	King George	24
Patterson	King George	22
Metrotown	King George	21
Royal Oak	King George	19
Edmonds	King George	16
22nd Street	King George	14
New Westminster	King George	10
Columbia	King George	9
Scott Road	King George	6
Gateway	King George	3
Surrey Central	King George	2
King George	King George	0
